Newark,40.7357,74.1724,54.9,4.28,36.3,5.19,696,4.25,Evoke Solar Inc.;Solar States;Solar Living Inc.,,
Norfolk,36.8508,76.2859,60.05,4.39,33,5.26,1149,4.50,Nova Solar;Teakwood Solar;Ipsun Power,,
North Las Vegas,36.1989,115.1175,68.7,4.23,32.4,5.09,913,4.50,Blue Raven Solar;Horizon Energy Solutions;Solup USA LLC,,
Oakland,37.8044,122.2711,59.2,4.35,33.9,5.29,557,4.25,Sunwork Renewable Energy Projects;LA Solar Group;Save a Lot Solar,,
Oklahoma City,35.4676,97.5164,61.5,4.75,32.8,5.9,1093,4.50,Delta Energy and Design;Ion Solar LLC;Harvest Solar LLC,,
Omaha,41.2524,95.998,51.05,4.59,38.2,5.98,962,4.50,Good Energy Solutions;GenPro Energy Solutions;Thompson Solar,,
Orlando,28.5383,81.3792,73.35,5.3,27.1,6.25,1141,4.33,IQ Power;Maximo Solar Industries;Goldin Solar,,
Philadelphia,39.9526,75.1652,55.85,4.5,36.5,5.68,855,4.50,Paradise Energy Solutions;Evoke Solar Inc.;Solar States,,
Phoenix,33.4484,112.074,75.05,3.76,28.4,4.34,1028,3.67,Arizona Solar Wave;Black Platinum Solar;Sunpro Solar LLC,,
Pittsburgh,40.4406,79.9959,52,4.52,37.4,5.8,855,4.50,YellowLite;Modern Energy;Rural Generation and Wind,,
Plano,33.0198,96.6989,64.9,4.74,30.4,5.72,557,3.96,Freedom Solar Power;Circle L Solar;Sunpro Solar,,
Portland,45.5231,122.6765,54.5,4.14,38.5,5.05,902,4.34,A&R Solar;Auric Solar;Blue Raven Solar,,
Raleigh,35.7796,78.6382,60.8,5.12,33,6.23,1113,4.50,Blue Raven Solar;P.E.G. Solar;NC Solar Now,,
Reno,39.5296,119.8138,53.85,4.18,35.6,5.22,913,4.50,Sunworks;Hamilton Solar;G3 Solar,,
Riverside,33.9533,117.3962,65.45,4,29.4,4.66,557,4.25,Renova Solar;SunLux Energy Inc.;Green Conception,,
Sacramento,38.5816,121.4944,60.95,4.52,35.4,5.59,1176,3.76,Semper Solaris;Kurios Energy;Sierra Pacific Solar,,
San Antonio,29.4241,98.4936,68.7,5.05,27.6,6.04,557,4.56,Freedom Solar Power;Green NRG;IES Texas Solar,,
San Bernardino,34.1083,117.2898,65.9,4.07,29.8,4.77,557,4.21,Renova Solar;SunLux Energy Inc.;Green Conception,,
San Diego,32.7157,117.1611,63.65,3.85,27.7,4.4,557,3.83,Semper Solaris;Solar Symphony;Cosmic Solar Inc.,,
San Francisco,37.7749,122.4194,57.3,4.35,33.9,5.29,557,4.25,PetersenDean Roofing & Solar Energy;Green Solar Technologies;Bland Solar,,
San Jose,37.3382,121.8863,61.55,4.27,33.6,5.17,557,4.25,Sunwork Renewable Energy Projects;LA Solar Group;Highlight Solar,,
Santa Ana,33.7455,117.8677,63.8,4,29.2,4.66,557,3.88,Semper Solaris;SunLux Energy Inc.;Imperial Solar,,
Scottsdale,33.4942,111.9261,72.55,3.81,28.6,4.4,1028,3.67,Arizona Solar Wave;Black Platinum Solar;Sunpro Solar LLC,,
Seattle,47.6062,122.3321,52.65,3.92,39.7,4.81,964,4.59,SolTerra;Pinnacle Roofing Professionals;Artisan Electric,,
St. Louis,38.627,90.1994,57.3,4.83,36.2,6.22,1033,4.50,Brightergy;EFS Energy;StraightUp Solar,,
St. Paul,44.9537,93.09,47.05,4.49,41.5,6.04,762,3.88,All Energy Solar;Energy Concepts;Able Energy Co,,
St. Petersburg,27.7518,82.6267,73,5.3,26.4,6.2,1141,3.72,Maximo Solar Industries;Goldin Solar;Solar Source-The Solar Experts,,
Stockton,37.9577,121.2908,62,4.27,34.2,5.21,557,4.06,Semper Solaris;Kurios Energy;Sierra Pacific Solar,,
Tampa,27.9506,82.4572,73.35,5.3,26.4,6.21,1141,3.78,IQ Power;Maximo Solar Industries;Goldin Solar,,
Toledo,41.6639,83.5552,53.4,4.49,38.4,5.88,877,4.50,YellowLite;Modern Energy;Advanced Distributed Generation,,
Tucson,32.2217,110.9265,70.9,3.57,26.5,4.01,1028,4.25,Net Zero Solar;Custom Solar and Leisure;Sunbright Solar,,
Tulsa,36.154,95.9928,60.7,5.13,33.9,6.46,1093,4.50,Good Energy Solutions;Delta Energy and Design;Ion Solar LLC,,
Virginia Beach,36.8529,75.978,60.6,4.35,32.5,5.11,1149,4.50,P.E.G. Solar;Nova Solar;Teakwood Solar,,
Washington,38.9072,77.0369,55.7,4.7,35.8,5.88,841,4.55,Edge Energy;Power Production Management;Green Solar Technologies,,
Wichita,37.6872,97.3301,56.65,4.84,35.3,6.2,896,4.50,Lawrence Wind and Solar;Azimuth Solar Energy;Gann Electric,,
Winston-Salem,36.0999,80.2442,59.55,4.51,33,5.58,1113,3.15,Renu Energy Solutions;P.E.G. Solar;Renewable Energy Design Group,,
